index,Id,Name,crop,Description ,Precaution-1,Precaution-2,Precaution-3,Pesticide-1,Pesticide-2,Pesticide-3
10,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Orange Huanglongbing (Citrus Greening),Oranges,"Orange Huanglongbing (HLB), also known as Citrus Greening, is a devastating bacterial disease that affects citrus trees, including oranges. It is caused by the bacterium Candidatus Liberibacter asiaticus and is primarily transmitted by the Asian citrus psyllid insect. HLB affects the overall health of citrus trees, causing yellowing of leaves, blotchy mottling, stunted growth, and premature fruit drop.","Control Asian Citrus Psyllid: Implement effective strategies to control the Asian citrus psyllid, which is the primary vector of HLB. This includes regular monitoring of the psyllid population, using insecticides to manage psyllid populations when necessary, and employing physical barriers or exclusion methods to prevent psyllids from accessing the trees.","Use Disease-Free Plant Material: Start with healthy, disease-free citrus plant material from reputable sources. Ensure that the nursery stock is certified and free from HLB. This reduces the risk of introducing the disease to new orchards.",Sanitation and Tree Removal: Remove and destroy any HLB-infected trees promptly to prevent the spread of the disease to healthy trees. Regularly prune and remove any symptomatic branches or shoots from infected trees to reduce the bacterial load. Properly dispose of the prunings and infected plant material.,Systemic Insecticides,Nutritional Programs,Integrated Pest Management (IPM)
11,Peach___Bacterial_spot,Peach Bacterial Spot,Peach,"Bacterial Spot is a common bacterial disease that affects peach trees, caused by the pathogen Xanthomonas arboricola pv. pruni. It primarily affects the leaves, fruit, and twigs of the peach tree.","Sanitation: Practice good sanitation measures by removing and destroying any infected plant material, including fallen leaves, infected fruits, and pruned branches. This helps reduce the source of bacteria and the potential for disease spread.","Pruning and Thinning: Prune peach trees to improve air circulation and sunlight penetration within the canopy, as it creates an unfavorable environment for the bacteria. Additionally, thinning the fruit helps reduce overcrowding and allows for better spray coverage.","Irrigation Management: Avoid overhead irrigation or excessive moisture on the foliage, as it promotes bacterial growth and disease development. Instead, use drip irrigation or other methods that deliver water directly to the soil, minimizing leaf wetness.",Copper-based Fungicides,Streptomycin,Fixed Copper Formulations
12,Pepper__bell___Bacterial_spot,Pepper Bell Bacterial Spot,Pepper,"Pepper Bell Bacterial Spot is a plant disease caused by the bacterium Xanthomonas campestris pv. vesicatoria. It primarily affects pepper plants, particularly the leaves, stems, and fruits. The disease is characterized by the appearance of small, water-soaked lesions on the affected plant parts. These lesions eventually enlarge and turn dark brown or black, surrounded by a yellow halo. In severe cases, the spots may coalesce, leading to defoliation and yield loss.",Crop Rotation: Avoid planting pepper or other susceptible crops in the same area for consecutive seasons. This practice helps reduce the buildup of pathogens in the soil.,"Sanitation: Maintain good hygiene in your garden or field. Remove and destroy infected plant debris, including fallen leaves or fruits. This prevents the bacteria from surviving and spreading to new plants.","Water Management: Avoid overhead irrigation methods, as wet foliage can facilitate the spread of the bacterial pathogen. Instead, use drip irrigation or other methods that apply water directly to the soil.",Copper-based Products,Streptomycin,Mancozeb
13,Potato___Early_blight,Potato Early Blight,Potato,"Potato Early Blight is a common fungal disease caused by the pathogen Alternaria solani. It affects potato plants, primarily targeting the leaves, stems, and tubers. The disease first appears as small, dark brown to black lesions on the lower leaves, which gradually enlarge and develop concentric rings. As the infection progresses, the leaves may turn yellow, wither, and eventually die. Severe infections can lead to reduced plant vigor and yield.","Crop Rotation: Practice crop rotation by avoiding planting potatoes or other related crops in the same area for consecutive seasons. This helps reduce the buildup of pathogens in the soil, lowering the risk of early blight.","Sanitation: Maintain good garden hygiene by removing and destroying infected plant debris, including infected leaves or stems. This prevents the fungus from overwintering and spreading to new plants.","Proper Plant Spacing and Pruning: Provide adequate spacing between potato plants to improve air circulation, as this helps reduce humidity and minimize favorable conditions for disease development. Additionally, remove and discard any infected leaves or stems to prevent the spread of the pathogen within the plant.",Chlorothalonil,Mancozeb,Azoxystrobin
14,Potato___Late_blight,Potato Late Blight,Potato,"Potato Late Blight is a devastating fungal disease caused by the pathogen Phytophthora infestans. It is infamous for its role in the Irish potato famine. Late blight affects potato plants and can also infect tomatoes. The disease is characterized by the appearance of dark, water-soaked lesions on leaves, stems, and tubers. These lesions often have a fuzzy, white-to-grayish appearance in humid conditions. A",Crop Rotation: Practice crop rotation by avoiding planting potatoes or other susceptible crops in the same area for consecutive seasons. This helps break the disease cycle and reduces the chances of infection.,"Timely Planting: Plant potatoes early in the growing season, if possible, to establish healthy plants before the late blight pathogen becomes prevalent. Early planting allows the crop to mature and be harvested before the disease reaches its peak.","Proper Plant Spacing: Provide adequate spacing between potato plants to improve air circulation and promote faster drying of foliage. This reduces the humidity levels around the plants, creating less favorable conditions for the spread of late blight.",Copper-based Products,Chlorothalonil,Mandipropamid
15,Squash___Powdery_mildew,Squash Powdery Mildew,Squash,"Squash Powdery Mildew is a fungal disease caused by various species of the pathogen Podosphaera xanthii or Erysiphe cichoracearum. It commonly affects squash plants, including zucchini, pumpkins, and other cucurbit species. The disease is characterized by the appearance of a white to grayish powdery growth on the upper surfaces of the leaves. Infected leaves may become distorted, curl, or turn yellow, leading to reduced plant vigor and yield.",Proper Plant Spacing: Provide adequate spacing between squash plants to improve air circulation and reduce humidity levels around the foliage. Good airflow helps inhibit the growth and spread of the powdery mildew fungus.,"Water Management: Avoid overhead irrigation or excessive watering that can create a moist environment conducive to powdery mildew development. Instead, use drip irrigation or other methods that apply water directly to the soil, keeping the foliage dry.","Regular Plant Inspection: Regularly inspect squash plants for early signs of powdery mildew, such as white powdery patches on leaves. Early detection allows for timely intervention and better disease management.",Sulfur-based Products,Triadimefon,Potassium Bicarbonate
16,Strawberry___Leaf_scorch,Strawberry Leaf Scorch,Strawberry,"Strawberry Leaf Scorch is a fungal disease caused by the pathogen Diplocarpon earlianum. It primarily affects strawberry plants, particularly the leaves. The disease initially appears as small, reddish-purple spots on the upper surface of the leaves. ",Plant Resistant Varieties: Choose strawberry varieties that are known to have resistance or tolerance to Leaf Scorch. Resistant varieties can help minimize the impact of the disease and reduce the need for intensive management.,"Proper Plant Spacing and Air Circulation: Provide adequate spacing between strawberry plants to improve air circulation. Good airflow helps reduce humidity levels, making the environment less favorable for fungal growth. Avoid overcrowding and promote faster drying of foliage.",Sanitation: Practice good garden hygiene by removing and destroying infected leaves or plants. This prevents the disease from spreading and minimizes the potential for overwintering pathogens.,Chlorothalonil,Myclobutanil,Propiconazole
17,Tomato___Bacterial_spot,Tomato Bacterial Spot,Tomato,"Tomato Bacterial Spot is caused by the bacterium Xanthomonas vesicatoria. It affects tomato plants and appears as small, dark brown lesions on the leaves, stems, and fruits. The lesions may have a yellow halo and can coalesce, leading to defoliation and fruit damage.",Crop Rotation: Avoid planting tomatoes or related crops in the same area for consecutive seasons to reduce pathogen buildup.,Sanitation: Remove and destroy infected plant debris and weeds to limit bacterial survival.,"Water Management: Use drip irrigation or other methods to avoid wetting the foliage, as it can promote bacterial spread.",Copper-based Products,Streptomycin,Mancozeb
18,Tomato___Early_blight,Tomato Early Blight,Tomato,"Tomato Early Blight is a fungal disease caused by Alternaria solani. It affects tomato plants and starts as small, dark lesions on the lower leaves. The lesions gradually enlarge and develop concentric rings, turning brown as they mature. Severe infections can cause defoliation, affecting the overall health and productivity of the plant.",Crop Rotation: Practice crop rotation by avoiding planting tomatoes or related crops in the same area for consecutive seasons. This helps break the disease cycle and reduces the chances of infection.,"Sanitation: Remove and destroy infected plant debris, including affected leaves and fruits. This reduces the sources of inoculum and prevents the spread of the disease.",Proper Plant Spacing and Pruning: Provide adequate spacing between tomato plants to improve air circulation and promote faster drying of foliage. Prune or stake plants to increase airflow and reduce leaf moisture.,Chlorothalonil,Mancozeb,Azoxystrobin
19,Tomato___Late_blight,Tomato Late Blight,Tomato,"Tomato Late Blight is a devastating fungal disease caused by Phytophthora infestans. It affects tomato plants, causing dark, water-soaked lesions on leaves, stems, and fruits. The lesions may have a white, fluffy mold during humid conditions. Late Blight spreads rapidly in cool, wet weather and can lead to significant crop damage.",Crop Rotation: Avoid planting tomatoes or related crops in the same area for consecutive seasons to reduce pathogen buildup.,Timely Planting: Plant tomatoes early in the growing season to establish healthy plants before Late Blight becomes prevalent. Early planting allows the crop to mature and be harvested before the disease reaches its peak.,Proper Plant Spacing: Provide adequate spacing between tomato plants to improve air circulation and promote faster drying of foliage. This reduces humidity levels and creates less favorable conditions for the spread of Late Blight.,Copper-based Products,Chlorothalonil,Mandipropamid
20,Tomato___Leaf_Mold,Tomato Leaf Mold,Tomato,"Tomato Leaf Mold is a fungal disease caused by Passalora fulva (previously known as Fulvia fulva). It affects tomato plants, particularly the leaves. It appears as pale yellow spots on the upper surface of the leaves, and on the lower surface, a velvety, olive-green to brown mold develops. ",Proper Plant Spacing and Pruning: Provide adequate spacing between tomato plants to improve air circulation and reduce humidity levels. Prune the lower leaves and promote good airflow through the canopy to minimize moisture retention.,Good Air Circulation: Ensure proper ventilation in the growing area by avoiding overcrowding of plants. This helps in reducing leaf moisture and creating an unfavorable environment for fungal growth.,Avoiding Overhead Irrigation: Water the plants at the base rather than overhead to minimize leaf wetting. Wet foliage provides a conducive environment for the development and spread of Leaf Mold.,Chlorothalonil,Mancozeb,Propiconazole
21,Tomato___Septoria_leaf_spot,Tomato Septoria Leaf Spot,Tomato,"Tomato Septoria Leaf Spot is a fungal disease caused by Septoria lycopersici. It affects tomato plants, primarily the leaves. It appears as small, circular lesions with dark centers and yellow halos on the leaves. As the disease progresses, the lesions may increase in number and size, causing yellowing and premature defoliation.",Crop Rotation: Practice crop rotation by avoiding planting tomatoes or related crops in the same area for consecutive seasons. This helps reduce the build-up of the pathogen in the soil.,"Sanitation: Remove and destroy infected plant debris, including affected leaves and fruits. This reduces the sources of inoculum and prevents the disease from spreading.",Proper Plant Spacing: Provide adequate spacing between tomato plants to improve air circulation and reduce leaf moisture. This creates a less favorable environment for disease development and spread.,Chlorothalonil,Mancozeb,Azoxystrobin
22,Tomato___Spider_mites Two-spotted_spider_mite,Tomato Spider Mites (Two-Spotted Spider Mite),Tomato,"Tomato Spider Mites, specifically the Two-Spotted Spider Mite (Tetranychus urticae), are tiny arachnids that can cause significant damage to tomato plants. They feed on plant tissues, sucking the cell contents and causing stippling on the leaves. As the infestation progresses, the leaves may turn yellow, dry out, and drop prematurely, leading to reduced plant vigor and productivity.",Monitoring and Early Detection: Regularly inspect the undersides of tomato leaves for the presence of spider mites or signs of damage. Early detection allows for prompt action before the infestation becomes severe.,"Water Management: Maintain proper moisture levels in the garden. Spider mites thrive in hot and dry conditions, so ensure adequate irrigation and use mulch to conserve soil moisture. Avoid overwatering or creating excessively dry environments.","Natural Predators and Beneficial Insects: Encourage the presence of natural predators, such as ladybugs, lacewings, and predatory mites, which feed on spider mites. Planting companion plants that attract beneficial insects can help control spider mite populations.",Insecticidal Soap,Miticide,Neem oil
23,Tomato___Target_Spot,Tomato Target Spot,Tomato,"Tomato Target Spot is a fungal disease caused by Corynespora cassiicola. It affects tomato plants, primarily the leaves, and appears as circular to irregular spots with concentric rings. The spots may have a target-like appearance with a dark center and a yellow halo. Target Spot can cause defoliation and impact the quality and yield of the tomatoes.",Crop Rotation: Practice crop rotation by avoiding planting tomatoes or related crops in the same area for consecutive seasons. This helps reduce the survival and buildup of the fungal pathogen in the soil.,"Sanitation: Remove and destroy infected plant debris, including affected leaves and fruits, to reduce the sources of fungal inoculum.",Proper Plant Spacing: Provide adequate spacing between tomato plants to improve air circulation and reduce leaf moisture. This helps create an environment less favorable for the development and spread of Target Spot.,Chlorothalonil,Mancozeb,Azoxystrobin
24,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato Yellow Leaf Curl Virus,Tomato,"TYLCV is a viral disease that affects tomatoes and is transmitted by the silverleaf whitefly (Bemisia tabaci). It causes yellowing and upward curling of leaves, stunted growth, and reduced fruit yield and quality.",Use Resistant Varieties: Plant tomato varieties that are resistant to TYLCV to reduce the risk of infection.,"Whitefly Control: Implement measures to control the silverleaf whitefly population, such as using yellow sticky traps, applying insecticides (following local recommendations), and promoting beneficial insect populations.","Weed Control: Remove or control weeds in and around the tomato field, as they can serve as alternative hosts for the virus and whiteflies.",Insecticides,Systematic Insecticides,Reflective Mulch
25,Tomato___Tomato_mosaic_virus,Tomato Mosaic virus,Tomato,"Tomato Mosaic Virus (ToMV) is a highly infectious viral disease that affects tomatoes and other plants in the tomato family (Solanaceae). It is caused by the Tomato mosaic virus, which is transmitted through contaminated tools, hands, insects, or infected plants. The virus leads to distinct mottling, curling, and discoloration of leaves, stunted growth, and reduced fruit quality and yield. It can severely impact tomato production.","Sanitation: Practice good sanitation measures to minimize the spread of the virus. This includes cleaning and disinfecting tools, equipment, and greenhouse structures before and after use.","Insect Control: Manage insect populations, particularly aphids and whiteflies, as they can transmit the virus. Use insecticides or biological controls if necessary.",Resistant Varieties: Plant resistant tomato varieties that are less susceptible to Tomato Mosaic Virus. Consult local agricultural extensions or nurseries for recommendations.,Organic Pesticides,Synthetic Pesticides,Balanced Fertilizers
